source_row_id,date,region,product_line,units_shipped,units_returned,gross_sales,discounts,list_price,gross_margin_pct,monthly_subscription_revenue,deferred_delta,shipped_orders,ingested_at
ERP-O-000001,2026-01-01,North,Apparel,616.16,24.4,893431.74,98277.49,1450.0,0.3383,0.0,9827.75,333,2026-01-02T02:00:00+05:30
ERP-O-000002,2026-01-01,North,Electronics,325.95,7.04,2900953.57,203066.75,8900.0,0.3197,0.0,31910.49,176,2026-01-02T02:00:00+05:30
ERP-O-000003,2026-01-01,North,Home,310.06,8.93,806143.92,72552.95,2600.0,0.3621,0.0,8867.58,168,2026-01-02T02:00:00+05:30
ERP-O-000004,2026-01-01,South,Apparel,499.74,19.79,724625.07,79708.76,1450.0,0.2917,0.0,7970.88,270,2026-01-02T02:00:00+05:30
ERP-O-000005,2026-01-01,South,Electronics,284.18,6.14,2529207.79,177044.55,8900.0,0.34,0.0,27821.29,154,2026-01-02T02:00:00+05:30
ERP-O-000006,2026-01-01,South,Home,271.63,7.82,706236.07,63561.25,2600.0,0.3581,0.0,7768.6,147,2026-01-02T02:00:00+05:30
ERP-O-000007,2026-01-01,East,Apparel,368.38,14.59,534151.5,58756.66,1450.0,0.3508,0.0,5875.67,199,2026-01-02T02:00:00+05:30
ERP-O-000008,2026-01-01,East,Electronics,201.93,4.36,1797181.24,125802.69,8900.0,0.3169,0.0,19768.99,109,2026-01-02T02:00:00+05:30
ERP-O-000009,2026-01-01,East,Home,185.25,5.34,481659.71,43349.37,2600.0,0.3046,0.0,5298.26,100,2026-01-02T02:00:00+05:30
ERP-O-000010,2026-01-01,West,Apparel,453.25,17.95,657205.58,72292.61,1450.0,0.3426,0.0,7229.26,245,2026-01-02T02:00:00+05:30
ERP-O-000011,2026-01-01,West,Electronics,288.81,6.24,2570369.41,179925.86,8900.0,0.3667,0.0,28274.06,156,2026-01-02T02:00:00+05:30
ERP-O-000012,2026-01-01,West,Home,252.62,7.28,656811.63,59113.05,2600.0,0.3492,0.0,7224.93,137,2026-01-02T02:00:00+05:30
ERP-O-000013,2026-01-02,North,Apparel,460.09,18.22,667130.89,73384.4,1450.0,0.3586,0.0,7338.44,249,2026-01-03T02:00:00+05:30
ERP-O-000014,2026-01-02,North,Electronics,300.24,6.49,2672175.59,187052.29,8900.0,0.3475,0.0,29393.93,162,2026-01-03T02:00:00+05:30
ERP-O-000015,2026-01-02,North,Home,260.32,7.5,676836.92,60915.32,2600.0,0.3392,0.0,7445.21,141,2026-01-03T02:00:00+05:30
ERP-O-000016,2026-01-02,South,Apparel,413.59,16.38,599712.36,65968.36,1450.0,0.3585,0.0,6596.84,224,2026-01-03T02:00:00+05:30
ERP-O-000017,2026-01-02,South,Electronics,243.54,5.26,2167503.95,151725.28,8900.0,0.3234,0.0,23842.54,132,2026-01-03T02:00:00+05:30
ERP-O-000018,2026-01-02,South,Home,220.01,6.34,572018.99,51481.71,2600.0,0.3501,0.0,6292.21,119,2026-01-03T02:00:00+05:30
ERP-O-000019,2026-01-02,East,Apparel,300.56,11.9,435815.43,47939.7,1450.0,0.335,0.0,4793.97,162,2026-01-03T02:00:00+05:30
ERP-O-000020,2026-01-02,East,Electronics,163.43,3.53,1454494.3,101814.6,8900.0,0.3527,0.0,15999.44,88,2026-01-03T02:00:00+05:30
ERP-O-000021,2026-01-02,East,Home,152.81,4.4,397308.61,35757.77,2600.0,0.3603,0.0,4370.39,83,2026-01-03T02:00:00+05:30
ERP-O-000022,2026-01-02,West,Apparel,368.89,14.61,534893.47,58838.28,1450.0,0.3267,0.0,5883.83,199,2026-01-03T02:00:00+05:30
ERP-O-000023,2026-01-02,West,Electronics,214.97,4.64,1913256.72,133927.97,8900.0,0.3215,0.0,21045.82,116,2026-01-03T02:00:00+05:30
ERP-O-000024,2026-01-02,West,Home,191.95,5.53,499072.86,44916.56,2600.0,0.34,0.0,5489.8,104,2026-01-03T02:00:00+05:30
ERP-O-000025,2026-01-03,North,Apparel,525.7,20.82,762270.94,83849.8,1450.0,0.3356,0.0,8384.98,284,2026-01-04T02:00:00+05:30
ERP-O-000026,2026-01-03,North,Electronics,336.65,7.27,2996221.01,209735.47,8900.0,0.2889,0.0,32958.43,182,2026-01-04T02:00:00+05:30
ERP-O-000027,2026-01-03,North,Home,291.85,8.41,758800.8,68292.07,2600.0,0.3464,0.0,8346.81,158,2026-01-04T02:00:00+05:30
ERP-O-000028,2026-01-03,South,Apparel,477.66,18.92,692600.79,76186.09,1450.0,0.3249,0.0,7618.61,258,2026-01-04T02:00:00+05:30
ERP-O-000029,2026-01-03,South,Electronics,252.55,5.45,2247653.44,157335.74,8900.0,0.331,0.0,24724.19,137,2026-01-04T02:00:00+05:30
ERP-O-000030,2026-01-03,South,Home,274.9,7.92,714733.03,64325.97,2600.0,0.32,0.0,7862.06,149,2026-01-04T02:00:00+05:30
ERP-O-000031,2026-01-03,East,Apparel,338.18,13.39,490354.16,53938.96,1450.0,0.3503,0.0,5393.9,183,2026-01-04T02:00:00+05:30
ERP-O-000032,2026-01-03,East,Electronics,196.19,4.24,1746128.07,122228.97,8900.0,0.3537,0.0,19207.41,106,2026-01-04T02:00:00+05:30
ERP-O-000033,2026-01-03,East,Home,177.13,5.1,460529.55,41447.66,2600.0,0.3558,0.0,5065.83,96,2026-01-04T02:00:00+05:30
ERP-O-000034,2026-01-03,West,Apparel,460.81,18.25,668174.27,73499.17,1450.0,0.3539,0.0,7349.92,249,2026-01-04T02:00:00+05:30
