source_row_id,date,region,product_line,refunds,refund_liability_inr,ingested_at
ERP-R-000001,2026-01-01,North,Apparel,49138.75,56018.17,2026-01-02T02:00:00+05:30
ERP-R-000002,2026-01-01,North,Electronics,87028.61,99212.61,2026-01-02T02:00:00+05:30
ERP-R-000003,2026-01-01,North,Home,32245.76,36760.16,2026-01-02T02:00:00+05:30
ERP-R-000004,2026-01-01,South,Apparel,39854.38,45433.99,2026-01-02T02:00:00+05:30
ERP-R-000005,2026-01-01,South,Electronics,75876.23,86498.91,2026-01-02T02:00:00+05:30
ERP-R-000006,2026-01-01,South,Home,28249.44,32204.36,2026-01-02T02:00:00+05:30
ERP-R-000007,2026-01-01,East,Apparel,29378.33,33491.3,2026-01-02T02:00:00+05:30
ERP-R-000008,2026-01-01,East,Electronics,53915.44,61463.6,2026-01-02T02:00:00+05:30
ERP-R-000009,2026-01-01,East,Home,19266.39,21963.68,2026-01-02T02:00:00+05:30
ERP-R-000010,2026-01-01,West,Apparel,36146.31,41206.79,2026-01-02T02:00:00+05:30
ERP-R-000011,2026-01-01,West,Electronics,77111.08,87906.63,2026-01-02T02:00:00+05:30
ERP-R-000012,2026-01-01,West,Home,26272.47,29950.61,2026-01-02T02:00:00+05:30
ERP-R-000013,2026-01-02,North,Apparel,36692.2,41829.11,2026-01-03T02:00:00+05:30
ERP-R-000014,2026-01-02,North,Electronics,80165.27,91388.41,2026-01-03T02:00:00+05:30
ERP-R-000015,2026-01-02,North,Home,27073.48,30863.76,2026-01-03T02:00:00+05:30
ERP-R-000016,2026-01-02,South,Apparel,32984.18,37601.96,2026-01-03T02:00:00+05:30
ERP-R-000017,2026-01-02,South,Electronics,65025.12,74128.63,2026-01-03T02:00:00+05:30
ERP-R-000018,2026-01-02,South,Home,22880.76,26084.07,2026-01-03T02:00:00+05:30
ERP-R-000019,2026-01-02,East,Apparel,23969.85,27325.63,2026-01-03T02:00:00+05:30
ERP-R-000020,2026-01-02,East,Electronics,43634.83,49743.71,2026-01-03T02:00:00+05:30
ERP-R-000021,2026-01-02,East,Home,15892.34,18117.27,2026-01-03T02:00:00+05:30
ERP-R-000022,2026-01-02,West,Apparel,29419.14,33537.82,2026-01-03T02:00:00+05:30
ERP-R-000023,2026-01-02,West,Electronics,57397.7,65433.38,2026-01-03T02:00:00+05:30
ERP-R-000024,2026-01-02,West,Home,19962.91,22757.72,2026-01-03T02:00:00+05:30
ERP-R-000025,2026-01-03,North,Apparel,41924.9,47794.39,2026-01-04T02:00:00+05:30
ERP-R-000026,2026-01-03,North,Electronics,89886.63,102470.76,2026-01-04T02:00:00+05:30
ERP-R-000027,2026-01-03,North,Home,30352.03,34601.32,2026-01-04T02:00:00+05:30
ERP-R-000028,2026-01-03,South,Apparel,38093.04,43426.07,2026-01-04T02:00:00+05:30
ERP-R-000029,2026-01-03,South,Electronics,67429.6,76869.75,2026-01-04T02:00:00+05:30
ERP-R-000030,2026-01-03,South,Home,28589.32,32591.83,2026-01-04T02:00:00+05:30
ERP-R-000031,2026-01-03,East,Apparel,26969.48,30745.21,2026-01-04T02:00:00+05:30
ERP-R-000032,2026-01-03,East,Electronics,52383.84,59717.58,2026-01-04T02:00:00+05:30
ERP-R-000033,2026-01-03,East,Home,18421.18,21000.15,2026-01-04T02:00:00+05:30
ERP-R-000034,2026-01-03,West,Apparel,36749.58,41894.53,2026-01-04T02:00:00+05:30
ERP-R-000035,2026-01-03,West,Electronics,69417.91,79136.41,2026-01-04T02:00:00+05:30
