date,product_line,promo_active,observed,source_note
2026-01-01,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-01,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-02,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-02,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-02,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-03,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-03,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-04,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-04,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-05,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-05,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-05,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-06,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-06,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-07,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-07,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-07,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-08,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-08,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-08,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-09,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-09,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-09,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-09,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-10,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-10,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-11,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-11,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-11,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-12,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-12,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-13,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-13,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-13,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-14,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-14,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-15,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-15,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-16,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-16,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-16,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-16,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-17,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-17,Electronics,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-17,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-18,Apparel,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-18,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-18,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-19,Home,0,1,"MarketWatch scrape, unverified, no discount depth"
2026-01-19,SmartHome,0,1,"MarketWatch scrape, unverified, no discount depth"
