week_start,campaign_id,region,channel,spend_inr,impressions,ingested_at
2025-12-29,CMP-N-BRAND,North,display,1355603.6,3227627,2026-01-05T09:00:00+05:30
2025-12-29,CMP-N-PERF,North,search,1294396.4,3081896,2026-01-05T09:00:00+05:30
2025-12-29,CMP-E-PERF,East,search,1320000.0,3142857,2026-01-05T09:00:00+05:30
2025-12-29,CMP-W-PERF,West,search,817065.85,1945394,2026-01-05T09:00:00+05:30
2025-12-29,CMP-W-BRAND,West,display,962934.15,2292700,2026-01-05T09:00:00+05:30
2026-01-05,CMP-N-BRAND,North,display,992922.76,2364101,2026-01-12T09:00:00+05:30
2026-01-05,CMP-N-PERF,North,search,1657077.24,3945421,2026-01-12T09:00:00+05:30
2026-01-05,CMP-E-PERF,East,search,1320000.0,3142857,2026-01-12T09:00:00+05:30
2026-01-05,CMP-W-PERF,West,search,1126741.58,2682718,2026-01-12T09:00:00+05:30
2026-01-05,CMP-W-BRAND,West,display,653258.42,1555377,2026-01-12T09:00:00+05:30
2026-01-12,CMP-N-BRAND,North,display,975344.18,2322248,2026-01-19T09:00:00+05:30
2026-01-12,CMP-N-PERF,North,search,1674655.82,3987275,2026-01-19T09:00:00+05:30
2026-01-12,CMP-E-PERF,East,search,1320000.0,3142857,2026-01-19T09:00:00+05:30
2026-01-12,CMP-W-PERF,West,search,449782.26,1070910,2026-01-19T09:00:00+05:30
2026-01-12,CMP-W-BRAND,West,display,1330217.74,3167185,2026-01-19T09:00:00+05:30
2026-01-19,CMP-N-BRAND,North,display,1578538.09,3758424,2026-01-26T09:00:00+05:30
2026-01-19,CMP-N-PERF,North,search,1071461.91,2551099,2026-01-26T09:00:00+05:30
2026-01-19,CMP-E-PERF,East,search,1320000.0,3142857,2026-01-26T09:00:00+05:30
2026-01-19,CMP-W-PERF,West,search,1040252.47,2476791,2026-01-26T09:00:00+05:30
2026-01-19,CMP-W-BRAND,West,display,739747.53,1761303,2026-01-26T09:00:00+05:30
2026-01-26,CMP-N-BRAND,North,display,1990637.84,4739613,2026-02-02T09:00:00+05:30
2026-01-26,CMP-N-PERF,North,search,924362.16,2200862,2026-02-02T09:00:00+05:30
2026-01-26,CMP-E-PERF,East,search,1452000.0,3457142,2026-02-02T09:00:00+05:30
2026-01-26,CMP-W-PERF,West,search,1492419.42,3553379,2026-02-02T09:00:00+05:30
2026-01-26,CMP-W-BRAND,West,display,465580.58,1108525,2026-02-02T09:00:00+05:30
2026-02-02,CMP-N-BRAND,North,display,717860.74,1709192,2026-02-09T09:00:00+05:30
2026-02-02,CMP-N-PERF,North,search,1932139.26,4600331,2026-02-09T09:00:00+05:30
2026-02-02,CMP-E-PERF,East,search,1320000.0,3142857,2026-02-09T09:00:00+05:30
2026-02-02,CMP-W-PERF,West,search,1252061.75,2981099,2026-02-09T09:00:00+05:30
2026-02-02,CMP-W-BRAND,West,display,527938.25,1256995,2026-02-09T09:00:00+05:30
2026-02-09,CMP-N-BRAND,North,display,1293028.68,3078639,2026-02-16T09:00:00+05:30
2026-02-09,CMP-N-PERF,North,search,1356971.32,3230884,2026-02-16T09:00:00+05:30
2026-02-09,CMP-E-PERF,East,search,1320000.0,3142857,2026-02-16T09:00:00+05:30
2026-02-09,CMP-W-PERF,West,search,1019357.85,2427042,2026-02-16T09:00:00+05:30
2026-02-09,CMP-W-BRAND,West,display,760642.15,1811052,2026-02-16T09:00:00+05:30
2026-02-16,CMP-N-BRAND,North,display,1129153.43,2688460,2026-02-23T09:00:00+05:30
2026-02-16,CMP-N-PERF,North,search,1520846.57,3621063,2026-02-23T09:00:00+05:30
2026-02-16,CMP-E-PERF,East,search,1320000.0,3142857,2026-02-23T09:00:00+05:30
2026-02-16,CMP-W-PERF,West,search,491341.99,1169861,2026-02-23T09:00:00+05:30
2026-02-16,CMP-W-BRAND,West,display,1288658.01,3068233,2026-02-23T09:00:00+05:30
2026-02-23,CMP-N-BRAND,North,display,1450896.22,3454514,2026-03-02T09:00:00+05:30
2026-02-23,CMP-N-PERF,North,search,1199103.78,2855008,2026-03-02T09:00:00+05:30
2026-02-23,CMP-E-PERF,East,search,1320000.0,3142857,2026-03-02T09:00:00+05:30
2026-02-23,CMP-W-PERF,West,search,684481.85,1629718,2026-03-02T09:00:00+05:30
2026-02-23,CMP-W-BRAND,West,display,1095518.15,2608376,2026-03-02T09:00:00+05:30
2026-03-02,CMP-N-BRAND,North,display,1351429.58,3217689,2026-03-09T09:00:00+05:30
2026-03-02,CMP-N-PERF,North,search,1298570.42,3091834,2026-03-09T09:00:00+05:30
2026-03-02,CMP-E-PERF,East,search,1320000.0,3142857,2026-03-09T09:00:00+05:30
2026-03-02,CMP-W-PERF,West,search,1088992.34,2592838,2026-03-09T09:00:00+05:30
2026-03-02,CMP-W-BRAND,West,display,691007.66,1645256,2026-03-09T09:00:00+05:30
2026-03-09,CMP-N-BRAND,North,display,1663150.34,3959881,2026-03-16T09:00:00+05:30
2026-03-09,CMP-N-PERF,North,search,986849.66,2349642,2026-03-16T09:00:00+05:30
2026-03-09,CMP-E-PERF,East,search,1320000.0,3142857,2026-03-16T09:00:00+05:30
2026-03-09,CMP-W-PERF,West,search,535683.06,1275435,2026-03-16T09:00:00+05:30
2026-03-09,CMP-W-BRAND,West,display,1244316.94,2962659,2026-03-16T09:00:00+05:30
2026-03-16,CMP-N-BRAND,North,display,980964.63,2335630,2026-03-23T09:00:00+05:30
2026-03-16,CMP-N-PERF,North,search,1669035.37,3973893,2026-03-23T09:00:00+05:30
2026-03-16,CMP-E-PERF,East,search,1320000.0,3142857,2026-03-23T09:00:00+05:30
2026-03-16,CMP-W-PERF,West,search,891365.71,2122299,2026-03-23T09:00:00+05:30
2026-03-16,CMP-W-BRAND,West,display,888634.29,2115795,2026-03-23T09:00:00+05:30
2026-03-23,CMP-N-BRAND,North,display,1660173.34,3952793,2026-03-30T09:00:00+05:30
2026-03-23,CMP-N-PERF,North,search,989826.66,2356730,2026-03-30T09:00:00+05:30
2026-03-23,CMP-E-PERF,East,search,1320000.0,3142857,2026-03-30T09:00:00+05:30
2026-03-23,CMP-W-PERF,West,search,1083554.15,2579890,2026-03-30T09:00:00+05:30
2026-03-23,CMP-W-BRAND,West,display,696445.85,1658204,2026-03-30T09:00:00+05:30
2026-03-30,CMP-N-BRAND,North,display,922398.17,2196186,2026-04-06T09:00:00+05:30
2026-03-30,CMP-N-PERF,North,search,1727601.83,4113337,2026-04-06T09:00:00+05:30
2026-03-30,CMP-E-PERF,East,search,1320000.0,3142857,2026-04-06T09:00:00+05:30
2026-03-30,CMP-W-PERF,West,search,784390.7,1867596,2026-04-06T09:00:00+05:30
2026-03-30,CMP-W-BRAND,West,display,995609.3,2370498,2026-04-06T09:00:00+05:30
2026-04-06,CMP-N-BRAND,North,display,1558856.7,3711563,2026-04-13T09:00:00+05:30
2026-04-06,CMP-N-PERF,North,search,1091143.3,2597960,2026-04-13T09:00:00+05:30
2026-04-06,CMP-E-PERF,East,search,1320000.0,3142857,2026-04-13T09:00:00+05:30
2026-04-06,CMP-W-PERF,West,search,669005.05,1592869,2026-04-13T09:00:00+05:30
2026-04-06,CMP-W-BRAND,West,display,1110994.95,2645226,2026-04-13T09:00:00+05:30
2026-04-13,CMP-N-BRAND,North,display,1250169.84,2976594,2026-04-20T09:00:00+05:30
2026-04-13,CMP-N-PERF,North,search,1399830.16,3332928,2026-04-20T09:00:00+05:30
2026-04-13,CMP-E-PERF,East,search,1320000.0,3142857,2026-04-20T09:00:00+05:30
2026-04-13,CMP-W-PERF,West,search,779682.33,1856386,2026-04-20T09:00:00+05:30
2026-04-13,CMP-W-BRAND,West,display,1000317.67,2381708,2026-04-20T09:00:00+05:30
2026-04-20,CMP-N-BRAND,North,display,679666.87,1618254,2026-04-27T09:00:00+05:30
2026-04-20,CMP-N-PERF,North,search,1970333.13,4691269,2026-04-27T09:00:00+05:30
2026-04-20,CMP-E-PERF,East,search,1320000.0,3142857,2026-04-27T09:00:00+05:30
2026-04-20,CMP-W-PERF,West,search,762483.78,1815437,2026-04-27T09:00:00+05:30
2026-04-20,CMP-W-BRAND,West,display,1017516.22,2422657,2026-04-27T09:00:00+05:30
2026-04-27,CMP-N-BRAND,North,display,904550.9,2153692,2026-05-04T09:00:00+05:30
2026-04-27,CMP-N-PERF,North,search,1745449.1,4155831,2026-05-04T09:00:00+05:30
2026-04-27,CMP-E-PERF,East,search,1320000.0,3142857,2026-05-04T09:00:00+05:30
2026-04-27,CMP-W-PERF,West,search,973940.26,2318905,2026-05-04T09:00:00+05:30
2026-04-27,CMP-W-BRAND,West,display,806059.74,1919189,2026-05-04T09:00:00+05:30
2026-05-04,CMP-N-BRAND,North,display,1241940.71,2957001,2026-05-11T09:00:00+05:30
2026-05-04,CMP-N-PERF,North,search,1408059.29,3352522,2026-05-11T09:00:00+05:30
2026-05-04,CMP-E-PERF,East,search,1320000.0,3142857,2026-05-11T09:00:00+05:30
2026-05-04,CMP-W-PERF,West,search,853963.68,2033246,2026-05-11T09:00:00+05:30
2026-05-04,CMP-W-BRAND,West,display,926036.32,2204848,2026-05-11T09:00:00+05:30
2026-05-11,CMP-N-BRAND,North,display,1296534.82,3086987,2026-05-18T09:00:00+05:30
2026-05-11,CMP-N-PERF,North,search,1618465.18,3853488,2026-05-18T09:00:00+05:30
2026-05-11,CMP-E-PERF,East,search,1452000.0,3457142,2026-05-18T09:00:00+05:30
2026-05-11,CMP-W-PERF,West,search,1318521.54,3139337,2026-05-18T09:00:00+05:30
2026-05-11,CMP-W-BRAND,West,display,639478.46,1522567,2026-05-18T09:00:00+05:30
2026-05-18,CMP-N-BRAND,North,display,1097086.49,2612110,2026-05-25T09:00:00+05:30
2026-05-18,CMP-N-PERF,North,search,1817913.51,4328365,2026-05-25T09:00:00+05:30
2026-05-18,CMP-E-PERF,East,search,1452000.0,3457142,2026-05-25T09:00:00+05:30
2026-05-18,CMP-W-PERF,West,search,1000950.76,2383216,2026-05-25T09:00:00+05:30
2026-05-18,CMP-W-BRAND,West,display,957049.24,2278688,2026-05-25T09:00:00+05:30
2026-05-25,CMP-N-BRAND,North,display,1043591.96,2484742,2026-06-01T09:00:00+05:30
2026-05-25,CMP-N-PERF,North,search,1606408.04,3824781,2026-06-01T09:00:00+05:30
2026-05-25,CMP-E-PERF,East,search,1320000.0,3142857,2026-06-01T09:00:00+05:30
2026-05-25,CMP-W-PERF,West,search,785063.82,1869199,2026-06-01T09:00:00+05:30
2026-05-25,CMP-W-BRAND,West,display,994936.18,2368895,2026-06-01T09:00:00+05:30
2026-06-01,CMP-N-BRAND,North,display,1760162.25,4190862,2026-06-08T09:00:00+05:30
2026-06-01,CMP-N-PERF,North,search,889837.75,2118661,2026-06-08T09:00:00+05:30
2026-06-01,CMP-E-PERF,East,search,1320000.0,3142857,2026-06-08T09:00:00+05:30
2026-06-01,CMP-W-PERF,West,search,1082194.88,2576654,2026-06-08T09:00:00+05:30
2026-06-01,CMP-W-BRAND,West,display,697805.12,1661440,2026-06-08T09:00:00+05:30
2026-06-08,CMP-N-BRAND,North,display,991506.52,2360729,2026-06-15T09:00:00+05:30
2026-06-08,CMP-N-PERF,North,search,1658493.48,3948793,2026-06-15T09:00:00+05:30
2026-06-08,CMP-E-PERF,East,search,1320000.0,3142857,2026-06-15T09:00:00+05:30
2026-06-08,CMP-W-PERF,West,search,973480.83,2317811,2026-06-15T09:00:00+05:30
2026-06-08,CMP-W-BRAND,West,display,806519.17,1920283,2026-06-15T09:00:00+05:30
2026-06-15,CMP-N-BRAND,North,display,1747790.01,4161404,2026-06-22T09:00:00+05:30
2026-06-15,CMP-N-PERF,North,search,902209.99,2148119,2026-06-22T09:00:00+05:30
2026-06-15,CMP-E-PERF,East,search,1320000.0,3142857,2026-06-22T09:00:00+05:30
2026-06-15,CMP-W-PERF,West,search,1207983.2,2876150,2026-06-22T09:00:00+05:30
2026-06-15,CMP-W-BRAND,West,display,572016.8,1361944,2026-06-22T09:00:00+05:30
2026-06-22,CMP-N-BRAND,North,display,1553678.6,3699234,2026-06-29T09:00:00+05:30
2026-06-22,CMP-N-PERF,North,search,1096321.4,2610289,2026-06-29T09:00:00+05:30
2026-06-22,CMP-E-PERF,East,search,1320000.0,3142857,2026-06-29T09:00:00+05:30
2026-06-22,CMP-W-PERF,West,search,844909.07,2011688,2026-06-29T09:00:00+05:30
2026-06-22,CMP-W-BRAND,West,display,935090.93,2226406,2026-06-29T09:00:00+05:30
2026-06-29,CMP-N-BRAND,North,display,757194.77,1802844,2026-07-06T09:00:00+05:30
2026-06-29,CMP-N-PERF,North,search,1892805.23,4506679,2026-07-06T09:00:00+05:30
2026-06-29,CMP-E-PERF,East,search,1320000.0,3142857,2026-07-06T09:00:00+05:30
2026-06-29,CMP-W-PERF,West,search,1050737.19,2501755,2026-07-06T09:00:00+05:30
2026-06-29,CMP-W-BRAND,West,display,729262.81,1736340,2026-07-06T09:00:00+05:30
2026-07-06,CMP-N-BRAND,North,display,1476731.15,3516026,2026-07-13T09:00:00+05:30
2026-07-06,CMP-N-PERF,North,search,1173268.85,2793497,2026-07-13T09:00:00+05:30
2026-07-06,CMP-E-PERF,East,search,1320000.0,3142857,2026-07-13T09:00:00+05:30
2026-07-06,CMP-W-PERF,West,search,994514.28,2367891,2026-07-13T09:00:00+05:30
2026-07-06,CMP-W-BRAND,West,display,785485.72,1870204,2026-07-13T09:00:00+05:30
2026-07-13,CMP-N-BRAND,North,display,1774107.23,4224064,2026-07-20T09:00:00+05:30
2026-07-13,CMP-N-PERF,North,search,875892.77,2085458,2026-07-20T09:00:00+05:30
2026-07-13,CMP-E-PERF,East,search,1320000.0,3142857,2026-07-20T09:00:00+05:30
2026-07-13,CMP-W-PERF,West,search,1139280.44,2712572,2026-07-20T09:00:00+05:30
2026-07-13,CMP-W-BRAND,West,display,640719.56,1525522,2026-07-20T09:00:00+05:30
2026-07-20,CMP-N-BRAND,North,display,1189925.51,2833155,2026-07-27T09:00:00+05:30
2026-07-20,CMP-N-PERF,North,search,1460074.49,3476367,2026-07-27T09:00:00+05:30
2026-07-20,CMP-E-PERF,East,search,1320000.0,3142857,2026-07-27T09:00:00+05:30
2026-07-20,CMP-W-PERF,West,search,632994.19,1507129,2026-07-27T09:00:00+05:30
2026-07-20,CMP-W-BRAND,West,display,1147005.81,2730966,2026-07-27T09:00:00+05:30
2026-07-27,CMP-N-BRAND,North,display,929946.12,2214157,2026-08-03T09:00:00+05:30
2026-07-27,CMP-N-PERF,North,search,1137053.88,2707271,2026-08-03T09:00:00+05:30
2026-07-27,CMP-E-PERF,East,search,1029600.0,2451428,2026-08-03T09:00:00+05:30
2026-07-27,CMP-W-PERF,West,search,789730.59,1880310,2026-08-03T09:00:00+05:30
2026-07-27,CMP-W-BRAND,West,display,598669.41,1425403,2026-08-03T09:00:00+05:30
2026-08-03,CMP-N-BRAND,North,display,1179258.18,2807757,2026-08-10T09:00:00+05:30
2026-08-03,CMP-N-PERF,North,search,887741.82,2113671,2026-08-10T09:00:00+05:30
2026-08-03,CMP-E-PERF,East,search,1029600.0,2451428,2026-08-10T09:00:00+05:30
2026-08-03,CMP-W-PERF,West,search,914822.31,2178148,2026-08-10T09:00:00+05:30
2026-08-03,CMP-W-BRAND,West,display,473577.69,1127565,2026-08-10T09:00:00+05:30
