event_id,ts_raw,warehouse,region,promised_hours,actual_hours,employee_id,shift_id,staff_productivity_score
OPS-D-0000001,2026-01-01 00:30:00,WH-N1,North,24.0,20.43,EMP-1046,SH-3,0.814
OPS-D-0000002,2026-01-01T01:57:00+05:30,WH-N1,North,24.0,19.35,EMP-1192,SH-3,0.812
OPS-D-0000003,2026-01-01T02:21:00+05:30,WH-N1,North,24.0,,EMP-1120,SH-2,0.853
OPS-D-0000004,2026-01-01T03:24:00+05:30,WH-N1,North,24.0,19.12,EMP-1325,SH-3,0.695
OPS-D-0000005,2026-01-01T04:41:00+05:30,WH-N1,North,24.0,16.46,EMP-1073,SH-1,0.804
OPS-D-0000006,2026-01-01 05:39:00,WH-N1,North,24.0,19.67,EMP-1308,SH-3,0.969
OPS-D-0000007,2026-01-01T06:49:00+05:30,WH-N1,North,24.0,18.41,EMP-1324,SH-3,0.781
OPS-D-0000008,2026-01-01T07:03:00+05:30,WH-N1,North,24.0,81.12,EMP-1314,SH-2,0.74
OPS-D-0000009,2026-01-01T08:49:00+05:30,WH-N1,North,24.0,9.73,EMP-1388,SH-2,0.804
OPS-D-0000010,2026-01-01 09:18:00,WH-N1,North,24.0,8.58,EMP-1386,SH-1,0.691
OPS-D-0000011,2026-01-01T10:02:00+05:30,WH-N1,North,24.0,18.7,EMP-1366,SH-3,0.803
OPS-D-0000012,2026-01-01T11:55:00+05:30,WH-N1,North,24.0,22.1,EMP-1366,SH-3,0.765
OPS-D-0000013,2026-01-01 12:13:00,WH-N1,North,24.0,13.74,EMP-1283,SH-1,0.813
OPS-D-0000014,2026-01-01 13:17:00,WH-N1,North,24.0,21.62,EMP-1375,SH-3,0.856
OPS-D-0000015,2026-01-01T14:46:00+05:30,WH-N1,North,24.0,15.61,EMP-1210,SH-3,0.752
OPS-D-0000016,2026-01-01T15:33:00+05:30,WH-N1,North,24.0,21.34,EMP-1016,SH-2,0.898
OPS-D-0000017,1767264600000,WH-N1,North,24.0,34.18,EMP-1107,SH-3,0.754
OPS-D-0000018,2026-01-01T17:55:00+05:30,WH-N1,North,24.0,21.59,EMP-1203,SH-3,0.839
OPS-D-0000019,2026-01-01 18:19:00,WH-N1,North,24.0,17.18,EMP-1173,SH-3,0.649
OPS-D-0000020,2026-01-01T19:40:00+05:30,WH-N1,North,24.0,16.52,EMP-1114,SH-3,0.843
OPS-D-0000021,2026-01-01T20:23:00+05:30,WH-N1,North,24.0,17.14,EMP-1207,SH-1,0.687
OPS-D-0000022,2026-01-01 21:11:00,WH-N1,North,24.0,14.92,EMP-1225,SH-1,0.817
OPS-D-0000023,1767286920000,WH-N1,North,24.0,14.06,EMP-1243,SH-3,0.847
OPS-D-0000024,2026-01-01T23:01:00+05:30,WH-N1,North,24.0,21.36,EMP-1331,SH-2,0.926
OPS-D-0000025,2026-01-01T00:50:00+05:30,WH-N2,North,24.0,16.04,EMP-1007,SH-1,0.949
OPS-D-0000026,2026-01-01T01:10:00+05:30,WH-N2,North,24.0,10.66,EMP-1208,SH-2,1.0
OPS-D-0000027,2026-01-01 02:51:00,WH-N2,North,24.0,14.92,EMP-1047,SH-2,0.631
OPS-D-0000028,2026-01-01T03:08:00+05:30,WH-N2,North,24.0,17.66,EMP-1016,SH-1,0.792
OPS-D-0000029,2026-01-01T04:25:00+05:30,WH-N2,North,24.0,18.82,EMP-1384,SH-1,0.803
OPS-D-0000030,1767227220000,WH-N2,North,24.0,15.84,EMP-1358,SH-3,0.89
OPS-D-0000031,2026-01-01 06:07:00,WH-N2,North,24.0,23.08,EMP-1333,SH-3,0.822
